epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0139,0.78917,4.19105,1.34074,0,0,0,0,0.56035,5.6251,1.3582,1.251e-05,1.251e-05,1.251e-05
2,56.9047,0.79767,4.2712,1.36372,0,0,0,0,0.60147,5.63508,1.34504,2.8612e-05,2.8612e-05,2.8612e-05
3,82.869,0.73936,4.11155,1.28645,0,0,0,0,0.63118,5.80367,1.42158,4.40535e-05,4.40535e-05,4.40535e-05
4,113.774,0.67394,3.96566,1.26735,0,0,0,0,0.79935,5.85608,1.51509,5.88345e-05,5.88345e-05,5.88345e-05
5,148.04,0.63457,3.78178,1.21883,0,0,0,0,0.82352,5.99954,1.52281,7.2955e-05,7.2955e-05,7.2955e-05
6,184.63,0.65836,3.8501,1.23778,0,0,0,0,0.79917,6.02402,1.5432,8.64149e-05,8.64149e-05,8.64149e-05
7,231.875,0.65173,3.71489,1.28054,0.1,0.06667,0.10016,0.08013,0.73743,6.03985,1.53114,9.92143e-05,9.92143e-05,9.92143e-05
8,281.511,0.64871,3.55512,1.21539,0.11111,0.23333,0.20934,0.14766,0.72536,5.85752,1.47992,0.000111353,0.000111353,0.000111353
9,318.989,0.61672,3.43563,1.1814,0.04605,0.23333,0.20232,0.15047,0.69772,5.8075,1.44147,0.000122832,0.000122832,0.000122832
10,352.953,0.66024,3.32815,1.12876,0.0565,0.5,0.2357,0.17746,0.69921,5.70485,1.51637,0.000133649,0.000133649,0.000133649
11,387.731,0.64456,3.09078,1.18978,0.05,0.5,0.18553,0.14713,0.76987,5.60436,1.6709,0.000143807,0.000143807,0.000143807
12,421.303,0.57914,2.99473,1.15114,0.12366,0.8,0.30896,0.22948,0.95793,5.62717,1.83011,0.000153303,0.000153303,0.000153303
13,457.819,0.68204,2.93579,1.26607,0.09377,1,0.39222,0.28964,0.95112,5.56964,1.84791,0.00016214,0.00016214,0.00016214
14,491.704,0.71013,2.98125,1.25597,0.08327,1,0.44997,0.34967,0.96583,5.44951,1.85062,0.000170315,0.000170315,0.000170315
15,527.326,0.63766,2.7944,1.26074,0.05181,1,0.54027,0.41705,1.00151,5.03034,1.9038,0.00017783,0.00017783,0.00017783
16,568.581,0.65527,2.48538,1.2085,0.50887,0.43333,0.52206,0.40916,0.97395,5.04056,1.84015,0.000184685,0.000184685,0.000184685
17,628.915,0.68734,2.59143,1.26062,0.63838,0.29722,0.47239,0.36556,0.9869,5.06726,1.8506,0.000190879,0.000190879,0.000190879
18,688.648,0.63388,2.47163,1.17849,0.6389,0.27707,0.46518,0.35336,1.02354,5.2725,1.77798,0.000196413,0.000196413,0.000196413
19,761.147,0.6937,2.544,1.27559,0.86111,0.26667,0.42685,0.30821,1.09317,5.22483,1.81864,0.000201286,0.000201286,0.000201286
20,817.926,0.62708,2.38899,1.19822,0.87787,0.26667,0.4278,0.32231,1.12594,5.2768,1.89816,0.000205498,0.000205498,0.000205498
21,870.155,0.65176,2.24501,1.18561,0.97265,0.3226,0.48705,0.35054,1.20117,5.12169,1.96383,0.00020905,0.00020905,0.00020905
22,914.52,0.67893,2.04388,1.26441,0.96094,0.33333,0.49049,0.35926,1.19165,4.99804,1.96143,0.000211942,0.000211942,0.000211942
